Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2022,267.5289612,276.4400024,278.8599854,275.3999939,276.4400024,17527400
24/08/2022,266.8999329,275.7900085,277.230011,275.1099854,275.4100037,18137000
25/08/2022,269.8613281,278.8500061,279.019989,274.519989,277.3299866,16583400
26/08/2022,259.4480896,268.0899963,280.3399963,267.980011,279.0799866,27549300
29/08/2022,256.6802979,265.230011,267.3999939,263.8500061,265.8500061,20338500
30/08/2022,254.4931641,262.9700012,267.0499878,260.6600037,266.6700134,22767100
31/08/2022,253.0414886,261.4700012,267.1099854,261.3299866,265.3900146,24791800
01/09/2022,252.0059662,260.3999939,260.8900146,255.4100037,258.8699951,23263400
02/09/2022,247.8059235,256.0599976,264.7399902,254.4700012,261.7000122,22855400
06/09/2022,245.0864868,253.25,257.8299866,251.9400024,256.2000122,21328200
07/09/2022,249.7704773,258.0899963,258.8299866,253.2200012,254.6999969,24126700
08/09/2022,250.1865997,258.519989,260.4299927,254.7899933,257.5100098,20319900
09/09/2022,255.9351196,264.4599915,265.230011,260.2900085,260.5,22084700
12/09/2022,258.0545654,266.6499939,267.4500122,265.1600037,265.7799988,18747700
13/09/2022,243.8671112,251.9900055,260.3999939,251.5899963,258.8399963,33353300
14/09/2022,244.0897064,252.2200012,254.2299957,249.8600006,253.5299988,23913000
15/09/2022,237.4701538,245.3800049,251.3999939,244.0200043,249.7700043,31530900
16/09/2022,236.8508453,244.7400055,245.3000031,242.0599976,244.2599945,39791800
19/09/2022,236.6379242,244.5200043,245.1399994,240.8500061,242.4700012,26826900
20/09/2022,234.6346436,242.4499969,243.5099945,239.6399994,242.0700073,26660300
21/09/2022,231.2474365,238.9499969,247.6600037,238.8999939,244.2700043,28625600
22/09/2022,233.2120209,240.9799957,243.8600006,237.5700073,237.8699951,31061200
23/09/2022,230.2506561,237.9199982,241.1300049,235.1999969,239.5399933,34176000
26/09/2022,229.7957611,237.4499969,241.4499969,236.8999939,237.0500031,27694200
27/09/2022,228.7893372,236.4100037,241.8000031,234.5,239.9799957,27018700
28/09/2022,233.2991486,241.0700073,242.3300018,234.7299957,236.8099976,29029700
29/09/2022,229.8441467,237.5,239.9499969,234.4100037,238.8899994,27484200
30/09/2022,225.3924713,232.8999939,240.5399933,232.7299957,238.2899933,35694800
03/10/2022,232.9797668,240.7400055,241.6100006,234.6600037,235.4100037,28880400
04/10/2022,240.8573608,248.8800049,250.3600006,244.9799957,245.0899963,34888400
05/10/2022,241.1670685,249.1999969,250.5800018,244.1000061,245.9900055,20347100
06/10/2022,238.8347321,246.7899933,250.3399963,246.0800018,247.9299927,20239900
07/10/2022,226.6893005,234.2400055,241.3200073,233.1699982,240.8999939,37769600
10/10/2022,221.8601227,229.25,234.5599976,226.7299957,233.0500031,29743600
11/10/2022,218.1439362,225.4100037,229.0599976,224.1100006,227.6199951,30474000
12/10/2022,218.4729309,225.75,227.8600006,223.9600067,225.3999939,21903900
13/10/2022,226.6893005,234.2400055,236.1000061,219.1300049,219.8500061,42551800
14/10/2022,221.1923676,228.5599976,237.2400055,228.3399963,235.5399933,30198600
17/10/2022,229.8732147,237.5299988,238.9600067,235.1399994,235.8200073,28142300
18/10/2022,230.8119507,238.5,243.9299927,235.3699951,243.2400055,26329600
19/10/2022,228.8570557,236.4799957,239.6100006,234.2899933,237.0399933,19985700
20/10/2022,228.5377197,236.1499939,241.3099976,234.8699951,235.7700043,21811000
21/10/2022,234.3152618,242.1199951,243,234.5,234.7400055,26299700
24/10/2022,239.2799072,247.25,247.8399963,241.3000031,243.7599945,24911200
25/10/2022,242.5799866,250.6600037,251.0399933,245.8300018,247.2599945,34775500
26/10/2022,223.8633881,231.3200073,238.3000031,230.0599976,231.1699982,82543200
27/10/2022,219.4407043,226.75,233.6900024,225.7799988,231.0399933,40424600
28/10/2022,228.2667389,235.8699951,236.6000061,226.0500031,226.2400055,40647700
31/10/2022,224.6473083,232.1300049,234.9199982,231.1499939,233.7599945,28357300
01/11/2022,220.8149567,228.1699982,235.7400055,227.3300018,234.6000061,30592300
02/11/2022,213.005127,220.1000061,231.3000031,220.0399933,229.4600067,38407000
03/11/2022,207.343689,214.25,220.4100037,213.9799957,220.0899963,36633900
04/11/2022,214.2534943,221.3899994,221.5899963,213.4299927,217.5500031,36789100
07/11/2022,220.5246124,227.8699951,228.4100037,221.2799988,221.9900055,33498000
08/11/2022,221.4923859,228.8699951,231.6499939,225.8399963,228.6999969,28192500
09/11/2022,217.2728882,224.5099945,228.6300049,224.3300018,227.3699951,27852900
10/11/2022,235.1475372,242.9799957,243.3300018,235,235.4299927,46268000
11/11/2022,239.1444244,247.1100006,247.9900055,241.9299927,242.9900055,34620200
14/11/2022,233.7636719,241.5500031,243.9100037,239.2100067,241.9900055,31123300
15/11/2022,234.170105,241.9700012,247,240.0299988,245.6600037,31390100
16/11/2022,234.5971222,241.7299957,243.8000031,240.4199982,242.7899933,24093300
17/11/2022,234.5485687,241.6799927,243.25,237.6300049,237.7799988,23123500
18/11/2022,234.1021423,241.2200012,243.7400055,239.0299988,243.5099945,27613500
21/11/2022,234.9076691,242.0500031,244.6699982,241.1900024,241.4299927,26394700
22/11/2022,237.7997131,245.0299988,245.3099976,240.7100067,243.5899963,19665700
23/11/2022,240.2745209,247.5800018,248.2799988,244.2700043,245.1100006,19508500
25/11/2022,240.1871338,247.4900055,248.6999969,246.7299957,247.3099976,9200800
28/11/2022,234.6262054,241.7599945,246.6499939,240.8000031,246.0800018,24778200
29/11/2022,233.2384186,240.3300018,242.7899933,238.2100067,241.3999939,17956300
30/11/2022,247.6114044,255.1399994,255.3300018,239.8600006,240.5700073,47594200
01/12/2022,247.1747284,254.6900024,256.1199951,250.9199982,253.8699951,26041500
02/12/2022,247.4949493,255.0200043,256.0599976,249.6900024,249.8200073,21528500
05/12/2022,242.8171997,250.1999969,253.8200073,248.0599976,252.0099945,23435300
06/12/2022,237.8871002,245.1199951,251.8600006,243.7799988,250.8200073,22463700
07/12/2022,237.1592255,244.3699951,246.1600037,242.2100067,244.8300018,20481500
08/12/2022,240.099823,247.3999939,248.7400055,243.0599976,244.8399963,22611800
09/12/2022,238.1782074,245.4199982,248.3099976,244.1600037,244.6999969,20609700
12/12/2022,245.059021,252.5099945,252.5399933,247.1699982,247.4499969,30665100
13/12/2022,249.3388977,256.9200134,263.9200134,253.0700073,261.6900024,42196900
14/12/2022,249.6300659,257.2200012,262.5899963,254.3099976,257.1300049,35410900
15/12/2022,241.6622925,249.0099945,254.1999969,247.3399963,253.7200012,35560400
16/12/2022,237.4697571,244.6900024,249.8399963,243.5099945,248.5500031,86102000
19/12/2022,233.3548737,240.4499969,245.2100067,238.7100067,244.8600006,29696400
20/12/2022,234.6650543,241.8000031,242.9100037,238.4199982,239.3999939,25150800
21/12/2022,237.2174225,244.4299927,245.6199951,240.1100006,241.6900024,23690600
